Name,Value,Color(s),Score,Effect,Rarity,SO,Process
Left Crocks of the Prohibited One,1,Green,,"When all pieces are gathered, create the Prohibited One in your hand. Remove all pieces",Rare,CardPieceSO,Coded
Left Furry Glove of the Prohibited One,1,Red,,"When all pieces are gathered, create the Prohibited One in your hand. Remove all pieces",Rare,CardPieceSO,Coded
Right 👌 of the Prohibited One,1,Orange,,"When all pieces are gathered, create the Prohibited One in your hand. Remove all pieces",Rare,CardPieceSO,Coded
Right Socks with Sandles of the Prohibited One,1,Blue,,"When all pieces are gathered, create the Prohibited One in your hand. Remove all pieces",Rare,CardPieceSO,Coded
Straightjacket 8,8,Wild,,Prevents playing any card on top of it that isn't an 8.,Rare,StraightJacketSO,Coded
Draw 25 card,2/5,Wild,250,"When played, remove this card from your deck and the opponent draws 25 cards",Legendary,Draw25SO,Coded
3.5 inch Floppy Disk,3/4,Any,,"Can be played as either a 3 or a 4. Always counts as blue. If you activated a side card this turn, mult by 1.25",Common,FloppyDiscSO,Coded
99 card,Any,Red,99,Gain 99 points,Common,_99CardSO,Coded
Ante Up,Any,Red,,"When played, multiply the Ante of the Round by 1.5",Rare,AnteUpSO,Coded
Art Theft,Any,Any,,"Whenever you play a card that shares a color with this card, multipy this card's points by 1.25 this round",Uncommon,ArtTheftSO,Coded
Balanced Card,Any,Green,,Can only be played if your opponent has less cards than you. They draw up to the difference,Uncommon,BalancedSO,Coded
Burglary,Any,Orange,,"When played, steal gold from the opponent equal to card value",Uncommon,BurglarySO,Coded
Take 5,Any,Green,,Your opponent draws 5 cards,Rare,CardDrawSO,Coded
Card Squared,Any,Red,,Multiply the final score value of this card by it's original value,Uncommon,CardSquaredSO,Coded
Comedy Comes in 3s,Any,Red,,Next card you play gives triple value,Uncommon,ComedySO,Coded
X of Cups,Any,Blue,,"When drawn, smoke 1 random card in the opponent's deck",Common,CupsSO,Coded
Smoke Bomb,Any,Blue,,"When played, smokes 5 random cards in your opponent's deck",Common,DeckSmokePlaySO,Coded
Devil's Advocate,Any,Orange,,Gain 666 points. Lose all your money.,Rare,DevilsAdvocateSO,Coded
Dollar Bill,Any,Orange,,"When played, gain 3 money",Common,DollarBillSO,Coded
The Dynamo,Any,Red,,"When in the hand and you play another red card, gain 10 points permanently",Common,DynamoCardSO,Coded
Early Bird,Any,Orange,,"When you play this card, if this is the first card on the pile, gain 5 money",Common,EarlyBirdSO,Coded
Emerald card,Any,Green,,Gives 5x the point value,Rare,ExpensiveCardSO,Coded
Jasper card,Any,Orange,,Gives 5x the point value,Rare,ExpensiveCardSO,Coded
Ruby card,Any,Red,,Gives 5x the point value,Rare,ExpensiveCardSO,Coded
Sapphire card,Any,Blue,,Gives 5x the point value,Rare,ExpensiveCardSO,Coded
Shared Account,Any,Orange,,Gives money equal to the total money of both players x5,Rare,ExpensiveCardSO,Coded
Explosive Gains,Any,Red,,"Whenever you play another smoked card, if this card is in your hand, gain 50 points",Uncommon,ExplosiveSO,Coded
Fair Market Price,Any,Orange,,"When played, give your opponent a random card from your deck. Take 5 money from them",Common,FairMarketSO,Coded
Fast and Furious,Any,Red,,"Whenever you play a card, if this card is in your hand, add 10 points to it this round",Common,FastAndFuriousSO,Coded
Final Word,Any,Green,,"If this card ends the round, gain 10 money",Uncommon,FinalWordSO,Coded
Fixer Upper card,Any,Green,,"Every time you play a card, while this card is in your deck, it gains 10 points permanently",Common,FixerUpperSO,Coded
Fix it in post,Any,Any,,"When drawn, choose a random color that's not on this card and add it to this card",Common,FixItSO,Coded
Flashbang,Any,Blue,,"When you draw this card, your opponent smokes 2 cards of their choice in their hand",Common,FlashbangSO,Coded
Ghost Pepper,Any,Red,,"If a smoked card is played, play this card on top of it. It gives x2 points",Common,GhostPepperSO,Coded
Grapeshot,Any,Red,,"Whenever you play another card, if this card is in your hand, multiply it's value by 1.5 this round",Uncommon,GrapeshotSO,Coded
Green Energy,Any,Green,,"Whenever you recycle this card, it gains 40 points",Common,GreenEnergySO,Coded
Hand of Midas,Any,Orange,,"When played, choose 1 card in your hand to change Orange. You gain 4 money",Common,HandOfMidasSO,Coded
Factory Card,Any,Blue,,"When played, smoke 3 random cards in your opponent's hand",Uncommon,HandSmokeCardSO,Coded
Harvest,Any,Green,,"Whenever you buy a card to your deck, this card gains 20 points",Common,HarvestSO,Coded
Hedge Funding,Any,Green,,"When played, recycle up to 3 cards in your hand. If they're smoked, clean them",Uncommon,HedgeSO,Coded
Hitchhiker,Any,Green,,"When you play another green card, play this card on top of it right away",Common,HitchhikerSO,Coded
Hors D'oeuvre,Any,Orange,,"Whenever the shop is refreshed, this card gains 15 points",Uncommon,HoDurvesSO,Coded
Incense,Any,Blue,,"When you play this card, you can play a smoked card on top of it",Common,IncenseSO,Coded
Land Tax,Any,Blue,,"When played, smoke up to 3 cards in your hand. For each card smoked, take 3 money from your opponent",Uncommon,LandTaxSO,Coded
Light Pollution,Any,Blue,,"When played, clean a card in your hand and smoke a random card in your opponent's hand and deck",Common,LightPollutionSO,Coded
Liquidation Sale,Any,Orange,,"Whenever you remove a card from your deck, this card gains 20 points",Common,LiquidationSO,Coded
Lucky 7,Any,Orange,,"When you play this card, gain score equal to your money * 10",Uncommon,LuckySevenSO,Coded
Magpie card,Any,Green,,"When played, fetch a card from your deck to your hand",Rare,MagpieSO,Coded
Middleman arrangement,Any,Orange,,"Whenever you activate a side card effect, gain 3 money",Uncommon,MiddlemanSO,Coded
Miner Card,Any,Green,,"When you activate a side card effect, this card gains 50 points for this round",Uncommon,MinerCardSO,Coded
