Name,Effect,Rarity,Process,SO
AI Generated Card,Copies the effect of the Side Card below this card,Rare,Coded,AICardSO
Ash Tray,Get 150 points for each Smoked card you play,Uncommon,Coded,AshTraySO
Recycling Bin,"Every time you recycle a card, gain 30 points",Common,Coded,BinSO
Blood Donor's card,"Whenever you play a red card, gain 2 money",Uncommon,Coded,BloodDonorSO
Blorbo,Activate: Add a card from your deck to your hand. Draw 1 extra card,Common,Coded,BlorboSO
Booster Pack,Activate: Remove this card. Choose 1 of 4 random cards to add to your hand.,Common,Coded,BoosterPackSO
Bribe Envelope,Activate: Draw 2 cards. Gain 6 money. Once per round,Rare,Coded,BribeSO
Certificate of Authenticity,"Whenever you play a regular card with nothing on it, you can play a second card on top of it. It doesn't trigger",Rare,Coded,CertificateSO
VII - The Chariot,"At the end of each turn, Clean one card of your choice in your hand",Uncommon,Coded,ChariotSO
Blue Paintbrush,All played cards count as blue cards,Uncommon,Coded,ColorAddSO
Green Paintbrush,All played cards count as green cards,Uncommon,Coded,ColorAddSO
Orange Paintbrush,All played cards count as orange cards,Uncommon,Coded,ColorAddSO
Red Paintbrush,All played cards count as red cards,Uncommon,Coded,ColorAddSO
Blue Credit,"When a Blue card is played, gain 30 points",Common,Coded,ColorScoreAdderSO
Green Visa,"When a Green card is played, gain 30 points",Common,Coded,ColorScoreAdderSO
Yellow Page,"When a Orange card is played, gain 30 points",Common,Coded,ColorScoreAdderSO
Red Card,"When a Red card is played, gain 30 points",Common,Coded,ColorScoreAdderSO
XIII - Death,"When you would lose a round, you survive. This card is then removed from your Side Deck",Legendary,Coded,DeathSO
XV - The Devil,Gain 3 money each time you can't play a card on your turn,Common,Coded,DevilSO
III - The Empress,"All drawn cards gain an additional, random color",Common,Coded,EmperorSO
IV - The Emperor,Activate: Choose 3 cards in your hand. They become full wilds,Uncommon,Coded,EmperorSO
Empty Canvas,"each time you play a card, if its color wasn't played yet, fill this card with that color. Once all four colors were played, all cards you play are color wild cards",Rare,Coded,EmptyCanvasSO
Event Ticket,Activate: Add 1 random rare card to your hand for this round,Uncommon,Coded,EventTicketSO
0 - The Fool,Start each round with 100 extra points. You draw 1 less card,Common,Coded,FoolSO
Four Eyes,"The first time you activate a card effect each round, refresh that card",Rare,Coded,FourEyesSO
Gift card,"On end of round: If you won, add 1 Side Deck slot and destroy this card",Rare,Coded,GiftCardSO
Greed Card,"Whenever you draw a card, gain 30 points",Common,Coded,GreedSO
XII - The Hanged Man,You gain 75 points for leftover card in your hand at end of round,Uncommon,Coded,HangedManSO
V - The Heirophant,"Every time you play a card with no effects or triggers, it gains a permanent 25 points",Common,Coded,HeirophantSO
IX - The Hermit,Double the point value of your card if it has no corresponding qualities with the current card,Common,Coded,HermitSO
